"ISSN","Journal","Abbr_Name","Is_SCI","IF2018","IF_5year","Self_citing","H_Index","CiteScore","Division","Category","Discipline","IsTop","IsReview","Publication_Cycle","Article_NO._per_year","Publication_year","Region","OA","Employment","Refereeing","View","Url"
"1619-4500","4OR-A Quarterly Journal of Operations Research","4OR-Q J OPER RES","SCIE",1.206,1.477,2.5,NA,1.47,"4区","管理科学","运筹学与管理科学","否","否","Quarterly","18",0,"GERMANY","No","容易",">12周，或约稿",68710,"https://www.letpub.com.cn/index.php?journalid=1&page=journalapp&view=detail"
"0149-1423","AAPG BULLETIN","AAPG BULL","SCI/SCIE",3.208,4.815,6.5,105,3.6,"2区","工程技术","地球科学综合","否","否","Monthly","90",1974,"UNITED STATES","No","较易","约1.0个月",49904,"https://www.letpub.com.cn/index.php?journalid=2&page=journalapp&view=detail"
"1550-7416","AAPS Journal","AAPS J","SCIE",3.804,4.364,6.3,88,3.56,"2区","医学","药学","否","否","Quarterly","160",2004,"UNITED STATES","No","","约1.0个月",49017,"https://www.letpub.com.cn/index.php?journalid=3&page=journalapp&view=detail"
"1530-9932","AAPS PHARMSCITECH","AAPS PHARMSCITECH","SCIE",2.666,2.882,14.2,71,2.59,"3区","医学","药学","否","否","Quarterly","316",2000,"UNITED STATES","No","容易","约2.0个月",39073,"https://www.letpub.com.cn/index.php?journalid=4&page=journalapp&view=detail"
"1532-8813","AATCC REVIEW","AATCC REV","SCIE",0.333,0.206,28.5,NA,0.23,"4区","工程技术","应用化学","否","否","Monthly","10",2001,"UNITED STATES","No","容易","约24.0个月",19684,"https://www.letpub.com.cn/index.php?journalid=5&page=journalapp&view=detail"
"0942-8925","ABDOMINAL IMAGING","ABDOM IMAGING","SCIE",2.443,2.151,0,NA,NA,"未录","","",NA,NA,"Bimonthly","0",1993,"UNITED STATES","No","约50%","平均2月",23480,"https://www.letpub.com.cn/index.php?journalid=6&page=journalapp&view=detail"
"0025-5858","ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG","ABH MATH SEM HAMBURG","SCIE",0.444,0.5,0,15,0.42,"4区","数学","数学","否","否","Annual","30",0,"GERMANY","No","容易",">12周，或约稿",17822,"https://www.letpub.com.cn/index.php?journalid=7&page=journalapp&view=detail"
"1085-3375","Abstract and Applied Analysis","ABSTR APPL ANAL","无",0,0,NA,43,0.53,"未录","","",NA,NA,"Monthly","1338",0,"UNITED STATES","No","容易","约6.0个月",50721,"https://www.letpub.com.cn/index.php?journalid=8&page=journalapp&view=detail"
"0065-7727","ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY","","SCI",0,0,NA,NA,NA,"未录","","",NA,NA,"Semiannual","0",0,NA,"No","容易","",26635,"https://www.letpub.com.cn/index.php?journalid=9&page=journalapp&view=detail"
"1069-6563","ACADEMIC EMERGENCY MEDICINE","ACAD EMERG MED","SCI/SCIE",2.612,2.947,9.2,106,2.12,"3区","医学","急救医学","否","否","Monthly","139",1994,"UNITED STATES","No","较易","一般,3-8周",20988,"https://www.letpub.com.cn/index.php?journalid=10&page=journalapp&view=detail"
"1040-2446","ACADEMIC MEDICINE","ACAD MED","SCI/SCIE",4.801,5.1,16.2,123,2.37,"2区","医学","学科教育","是","否","Monthly","194",1989,"UNITED STATES","No","较难","一般,3-6周",11369,"https://www.letpub.com.cn/index.php?journalid=11&page=journalapp&view=detail"
"1876-2859","Academic Pediatrics","ACAD PEDIATR","SCIE",2.806,3.152,19.9,59,2.07,"3区","医学","儿科","否","否","Bimonthly","133",2009,"UNITED STATES","No","较易","较慢,6-12周",7096,"https://www.letpub.com.cn/index.php?journalid=12&page=journalapp&view=detail"
"1076-6332","ACADEMIC RADIOLOGY","ACAD RADIOL","SCIE",2.11,2.221,9.7,84,1.97,"4区","医学","核医学","否","否","Monthly","202",1994,"UNITED STATES","No","容易","平均4月",12407,"https://www.letpub.com.cn/index.php?journalid=13&page=journalapp&view=detail"
"0898-9621","Accountability in Research-Policies and Quality Assurance","ACCOUNT RES","SCIE",1.4,1.317,16.1,NA,1.05,"4区","医学","医学：伦理","否","否","Tri-annual","25",1989,"UNITED STATES","No","容易",">12周，或约稿",6368,"https://www.letpub.com.cn/index.php?journalid=14&page=journalapp&view=detail"
"0001-4842","ACCOUNTS OF CHEMICAL RESEARCH","ACCOUNTS CHEM RES","SCI/SCIE",20.955,22.361,0.6,336,20.79,"1区","化学","化学综合","是","是","Monthly","275",1968,"UNITED STATES","No","极难","一般,3-6周",96372,"https://www.letpub.com.cn/index.php?journalid=15&page=journalapp&view=detail"
"0949-1775","ACCREDITATION AND QUALITY ASSURANCE","ACCREDIT QUAL ASSUR","SCIE",0.667,0.639,19.5,33,0.51,"4区","工程技术","分析化学","否","否","Monthly","37",1996,"GERMANY","No","容易","较慢,6-12周",9406,"https://www.letpub.com.cn/index.php?journalid=16&page=journalapp&view=detail"
"0889-325X","ACI MATERIALS JOURNAL","ACI MATER J","SCI/SCIE",1.252,1.732,9.3,74,1.45,"4区","工程技术","结构与建筑技术","否","否","Bimonthly","84",0,"UNITED STATES","No","容易","约3.0个月",35513,"https://www.letpub.com.cn/index.php?journalid=17&page=journalapp&view=detail"
"0889-3241","ACI STRUCTURAL JOURNAL","ACI STRUCT J","SCI/SCIE",1.197,1.733,13.4,86,1.57,"4区","工程技术","结构与建筑技术","否","否","Bimonthly","110",0,"UNITED STATES","No","约50%","平均2.5月",14325,"https://www.letpub.com.cn/index.php?journalid=18&page=journalapp&view=detail"
"0360-0300","ACM COMPUTING SURVEYS","ACM COMPUT SURV","SCI/SCIE",5.55,8.012,2.9,127,11.53,"1区","工程技术","计算机：理论方法","是","是","Quarterly","92",1971,"UNITED STATES","No","较难",">12周，或约稿",36525,"https://www.letpub.com.cn/index.php?journalid=19&page=journalapp&view=detail"
"1550-4832","ACM Journal on Emerging Technologies in Computing Systems","ACM J EMERG TECH COM","SCIE",1.672,1.579,5.6,30,1.91,"4区","工程技术","计算机：硬件","否","否","Quarterly","47",2005,"UNITED STATES","No","容易",">12周，或约稿",9302,"https://www.letpub.com.cn/index.php?journalid=20&page=journalapp&view=detail"
"0362-1340","ACM SIGPLAN NOTICES","ACM SIGPLAN NOTICES","无",0,0,NA,72,1.78,"未录","","",NA,NA,"Monthly","378",0,"UNITED STATES","No","容易","较快,2-4周",9330,"https://www.letpub.com.cn/index.php?journalid=21&page=journalapp&view=detail"
"1549-6325","ACM Transactions on Algorithms","ACM T ALGORITHMS","SCIE",0.652,1.063,4.9,37,2.11,"4区","工程技术","计算机：理论方法","否","否","Quarterly","37",0,"UNITED STATES","No","容易","较慢,6-12周",8425,"https://www.letpub.com.cn/index.php?journalid=22&page=journalapp&view=detail"
"1544-3558","ACM Transactions on Applied Perception","ACM T APPL PERCEPT","SCIE",0.962,1.212,8,38,1.54,"4区","工程技术","计算机：软件工程","否","否","Quarterly","26",2004,"UNITED STATES","No","容易","约12.0个月",9025,"https://www.letpub.com.cn/index.php?journalid=23&page=journalapp&view=detail"
"1544-3566","ACM Transactions on Architecture and Code Optimization","ACM T ARCHIT CODE OP","SCIE",1.131,1.226,12.3,NA,1.84,"4区","工程技术","计算机：硬件","否","否","Quarterly","55",0,"UNITED STATES","No","容易","较慢,6-12周",8662,"https://www.letpub.com.cn/index.php?journalid=24&page=journalapp&view=detail"
"1556-4665","ACM Transactions on Autonomous and Adaptive Systems","ACM T AUTON ADAP SYS","SCIE",1.216,1.467,8.1,33,2.64,"4区","工程技术","计算机：人工智能","否","否","Quarterly","21",0,"UNITED STATES","No","容易",">12周，或约稿",7564,"https://www.letpub.com.cn/index.php?journalid=25&page=journalapp&view=detail"
"1529-3785","ACM Transactions on Computational Logic","ACM T COMPUT LOG","SCIE",0.731,0.841,8.1,43,1.72,"4区","工程技术","计算机：理论方法","否","否","Quarterly","33",0,"UNITED STATES","No","容易",">12周，或约稿",6018,"https://www.letpub.com.cn/index.php?journalid=26&page=journalapp&view=detail"
"0734-2071","ACM TRANSACTIONS ON COMPUTER SYSTEMS","ACM T COMPUT SYST","SCI/SCIE",1.76,4.034,4.5,64,8.44,"2区","工程技术","计算机：理论方法","否","否","Quarterly","12",0,"UNITED STATES","No","容易",">12周，或约稿",11847,"https://www.letpub.com.cn/index.php?journalid=27&page=journalapp&view=detail"
"1073-0516","ACM Transactions on Computer-Human Interaction","ACM T COMPUT-HUM INT","SCIE",0.972,1.87,5.7,78,3.27,"4区","工程技术","计算机：控制论","否","否","Quarterly","31",1994,"UNITED STATES","No","容易",">12周，或约稿",9112,"https://www.letpub.com.cn/index.php?journalid=28&page=journalapp&view=detail"
"0362-5915","ACM TRANSACTIONS ON DATABASE SYSTEMS","ACM T DATABASE SYST","SCI/SCIE",1,1.27,5.9,74,2.57,"4区","工程技术","计算机：信息系统","否","否","Quarterly","24",1976,"UNITED STATES","No","容易",">12周，或约稿",8785,"https://www.letpub.com.cn/index.php?journalid=29&page=journalapp&view=detail"
"1084-4309","ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS","ACM T DES AUTOMAT EL","SCIE",0.87,0.924,6.7,46,1.43,"4区","工程技术","计算机：硬件","否","否","Quarterly","67",0,"UNITED STATES","No","容易","较慢,6-12周",7533,"https://www.letpub.com.cn/index.php?journalid=30&page=journalapp&view=detail"
"1539-9087","ACM Transactions on Embedded Computing Systems","ACM T EMBED COMPUT S","SCIE",1.156,1.229,14,NA,1.59,"4区","工程技术","计算机：硬件","否","否","Quarterly","154",0,"UNITED STATES","No","容易","约6.0个月",11008,"https://www.letpub.com.cn/index.php?journalid=31&page=journalapp&view=detail"
