issn,eissn,journal_name,category,if_2022,rank,collection,jci,citations,percentageOAGold
0007-9235,1542-4863,CA-A CANCER JOURNAL FOR CLINICIANS,ONCOLOGY - SCIE(Q1),286.13,Q1,SCIE,76.09,61124,98.8
0140-6736,1474-547X,LANCET,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",202.731,Q1,SCIE,21.81,403221,22.12
0028-4793,1533-4406,NEW ENGLAND JOURNAL OF MEDICINE,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",176.079,Q1,SCIE,22.26,506069,0
0098-7484,1538-3598,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",157.335,Q1,SCIE,10.32,242479,1.49
1471-0072,1471-0080,NATURE REVIEWS MOLECULAR CELL BIOLOGY,CELL BIOLOGY - SCIE(Q1),113.915,Q1,SCIE,8.39,66072,2.16
1474-1776,1474-1784,NATURE REVIEWS DRUG DISCOVERY,PHARMACOLOGY & PHARMACY - SCIE(Q1); BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),112.288,Q1,SCIE,9.68,47615,1.69
1474-1733,1474-1741,NATURE REVIEWS IMMUNOLOGY,IMMUNOLOGY - SCIE(Q1),108.555,Q1,SCIE,7.56,67751,1.08
2213-2600,N/A,Lancet Respiratory Medicine,RESPIRATORY SYSTEM - SCIE(Q1); CRITICAL CARE MEDICINE - SCIE(Q1),102.642,Q1,SCIE,13.47,29214,12.74
0959-535X,1756-1833,BMJ-British Medical Journal,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",93.333,Q1,SCIE,7.15,183681,81.91
1078-8956,1546-170X,NATURE MEDICINE,"MEDICINE, RESEARCH & EXPERIMENTAL - SCIE(Q1); CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1)",87.241,Q1,SCIE,12.6,141857,10.26
N/A,2666-5247,Lancet Microbe,INFECTIOUS DISEASES - SCIE(Q1); MICROBIOLOGY - SCIE(Q1),86.208,Q1,SCIE,5.7,3096,89.16
1723-8617,2051-5545,World Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),79.683,Q1,SCIE/SSCI,8.52,11951,1.61
1740-1526,1740-1534,NATURE REVIEWS MICROBIOLOGY,MICROBIOLOGY - SCIE(Q1),78.297,Q1,SCIE,5.75,51100,5.26
2215-0374,N/A,Lancet Psychiatry,PSYCHIATRY - SCIE(Q1); PSYCHIATRY - SSCI(Q1),77.056,Q1,SCIE/SSCI,7.35,21986,22.9
2058-8437,2058-8437,Nature Reviews Materials,"NANOSCIENCE & NANOTECHNOLOGY - SCIE(Q1); MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1)",76.679,Q1,SCIE,4.04,27820,1.22
1759-5045,1759-5053,Nature Reviews Gastroenterology & Hepatology,GASTROENTEROLOGY & HEPATOLOGY - SCIE(Q1),73.082,Q1,SCIE,7.24,21962,5.44
2468-2667,2468-2667,Lancet Public Health,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE(Q1); PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI(Q1)",72.427,Q1,SCIE/SSCI,10.02,10449,99.42
0009-2665,1520-6890,CHEMICAL REVIEWS,"CHEMISTRY, MULTIDISCIPLINARY - SCIE(Q1)",72.087,Q1,SCIE,4.03,243908,17.89
1473-3099,1474-4457,LANCET INFECTIOUS DISEASES,INFECTIOUS DISEASES - SCIE(Q1),71.421,Q1,SCIE,6.96,52835,21.18
1474-175X,1474-1768,NATURE REVIEWS CANCER,ONCOLOGY - SCIE(Q1),69.8,Q1,SCIE,7.95,66699,0.7
0028-0836,1476-4687,NATURE,MULTIDISCIPLINARY SCIENCES - SCIE(Q1),69.504,Q1,SCIE,10.88,1008544,8.02
1087-0156,1546-1696,NATURE BIOTECHNOLOGY,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - SCIE(Q1),68.164,Q1,SCIE,11.13,91927,7.43
2058-7546,2058-7546,Nature Energy,"MATERIALS SCIENCE, MULTIDISCIPLINARY - SCIE(Q1); ENERGY & FUELS - SCIE(Q1)",67.439,Q1,SCIE,8.08,37355,2.56
0092-8674,1097-4172,CELL,CELL BIOLOGY - SCIE(Q1); BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE(Q1),66.85,Q1,SCIE,8.94,362236,19.08
2056-676X,2056-676X,Nature Reviews Disease Primers,"MEDICINE, GENERAL & INTERNAL - SCIE(Q1)",65.038,Q1,SCIE,13.47,21565,5.88
1759-4774,1759-4782,Nature Reviews Clinical Oncology,ONCOLOGY - SCIE(Q1),65.011,Q1,SCIE,7.98,22751,4.29
