id,ISSN,CN,name1,name2,oldname,category1,category2,cIF,sIF,publishNO,downNO,citeNO,evaluation,organizer,location,frequency,language,format,postalcode,firstissue,status,jurl
1,0375-5444,11-1856/P,地理学报,Acta Geographica Sinica,-,哲学与人文科学；基础科学,自然地理学和测绘学；地理,10.144,7.52,6378,8028124,352262,核心期刊/JST/Pж(AJ)/EI/CSCD/CSSCI来源期刊/WJCI/卓越期刊,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-109,1934,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLXB/detail'>Link</a>
2,1000-0585,11-1848/P,地理研究,Geographical Research,-,哲学与人文科学；基础科学,自然地理学和测绘学；地理,7.472,5.38,5280,6344573,228716,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-110,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLYJ/detail'>Link</a>
3,1000-0747,11-2360/TE,石油勘探与开发,Petroleum Exploration and Development,-,工程科技1；基础科学,地质学；石油天然气工业,7.158,5.957,6073,2938750,176321,核心期刊/CA/INSPEC/SCI/JST/EI/CSCD/WJCI,中国石油天然气股份有限公司勘探开发研究院;中国石油集团科学技术研究院有限公司,北京市,双月,中文,大16开,82-155,1974,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SKYK/detail'>Link</a>
4,1000-3037,11-1912/N,自然资源学报,Journal of Natural Resources,-,基础科学,资源科学,6.098,4.715,4553,4026128,204627,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国自然资源学会,北京市,月刊,中文,16开,82-322,1986,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZRZX/detail'>Link</a>
5,1007-6301,11-3858/P,地理科学进展,Progress in Geography,地理译报,哲学与人文科学；基础科学,自然地理学和测绘学；地理,6.046,4.35,4460,4954046,161836,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国地理学会,北京市,月刊,中文,16开,2-940,1982,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLKJ/detail'>Link</a>
6,1000-0690,22-1124/P,地理科学,Scientia Geographica Sinica,-,基础科学,自然地理学和测绘学,5.987,4.293,5025,4792402,192822,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院东北地理与农业生态研究所;中国地理学会,吉林省长春市,月刊,中文,16开,8-31,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/DLKX/detail'>Link</a>
7,0253-9985,11-4820/TE,石油与天然气地质,Oil & Gas Geology,-,工程科技1；基础科学,地质学；石油天然气工业,4.928,4.205,4330,1730638,103890,核心期刊/CA/JST/EI/CSCD/WJCI/卓越期刊,中国石油化工股份有限公司石油勘探开发研究院;中国地质学会石油地质专业委员会,北京市,双月,中文,16开,82-287,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYYT/detail'>Link</a>
8,1672-7703,11-5215/TE,中国石油勘探,China Petroleum Exploration,勘探家,工程科技1；基础科学,地质学；石油天然气工业,4.879,4.248,2128,728754,32750,核心期刊/CA/JST/CSCD/WJCI,石油工业出版社有限公司,北京市,双月,中文,大16开,-,1996,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KTSY/detail'>Link</a>
9,1007-7588,11-3868/N,资源科学,Resources Science,自然资源,经济与管理科学；基础科学,资源科学；经济体制改革,4.798,3.505,6569,5037223,208887,核心期刊/JST/CSCD/CSSCI来源期刊/WJCI,中国科学院地理科学与资源研究所;中国自然资源学会,北京市,月刊,中文,16开,82-4,1977,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/ZRZY/detail'>Link</a>
10,1003-2053,11-1805/G3,科学学研究,Studies in Science of Science,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.752,2.998,6325,5935280,173439,核心期刊/JST/CSCD/CSSCI来源期刊,中国科学学与科技政策研究会,北京市,月刊,中文,大16开,82-315,1983,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KXYJ/detail'>Link</a>
11,1000-0933,11-2031/Q,生态学报,Acta Ecologica Sinica,-,基础科学,生物学,4.733,3.444,17357,12964338,736034,核心期刊/CA/JST/Pж(AJ)/CSCD/WJCI/卓越期刊,中国生态学学会;中国科学院生态环境研究中心,北京市,半月,中文,16开,82-7,1981,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/STXB/detail'>Link</a>
12,1000-2995,11-1567/G3,科研管理,Science Research Management,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.523,2.701,6827,6346844,192195,核心期刊/JST/CSCD/CSSCI来源期刊,中国科学院科技战略咨询研究院;中国科学学与科技政策研究会,北京市,月刊,中文,大16开,2-502,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KYGL/detail'>Link</a>
13,0253-2697,11-2128/TE,石油学报,Acta Petrolei Sinica,-,工程科技1；基础科学,地质学；石油天然气工业,4.478,3.964,5859,2908634,185029,核心期刊/CA/JST/Pж(AJ)/EI/CSCD/WJCI/卓越期刊,中国石油学会,北京市,月刊,中文,大16开,2-114,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/SYXB/detail'>Link</a>
14,1004-9665,11-3249/P,工程地质学报,Journal of Engineering Geology,-,基础科学,地质学,4.151,3.21,3811,1355997,77769,核心期刊/JST/CSCD/WJCI,中国科学院地质与地球物理研究所,北京市,双月,中文,大16开,82-296,1993,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/GCDZ/detail'>Link</a>
15,1002-0241,12-1117/G3,科学学与科学技术管理,Science of Science and Management of S.& T.,-,经济与管理科学；基础科学,基础科学综合；科学研究管理,4.114,2.435,12097,5855449,187006,核心期刊/JST/CSCD扩展版/CSSCI来源期刊,天津市科学技术发展战略研究院,天津市,月刊,中文,大16开,6-42,1980,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/KXXG/detail'>Link</a>
16,1007-9807,12-1275/G3,管理科学学报,Journal of Management Sciences in China,决策与决策支持系统,经济与管理科学；基础科学,数学；宏观经济管理与可持续发展,4.1,2.53,2638,3275984,116720,核心期刊/JST/CSCD/CSSCI来源期刊,天津大学;国家自然科学基金委员会管理科学部,天津市,月刊,中文,大16开,6-89,1992,发行,<a target='_blank' href='https://navi.cnki.net/knavi/journals/JCYJ/detail'>Link</a>
